encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
"0,10,20,14,2,10,18,4,5,2,3,6,3,0,6",0.565,0.57,0.5662499999999999,0.5565217391304348,0.64,0.5953488372093023,0.565,0.7134041786193848
"7,4,8,14,7,3,1,13,8,16,15,22,4,10,15",0.545,0.63,0.5662499999999999,0.6,0.27,0.3724137931034483,0.5449999999999999,0.7369036674499512
"7,4,14,1,2,3,3,5,3,9,4,9,19,12,9",0.545,0.63,0.5662499999999999,0.6,0.27,0.3724137931034483,0.5449999999999999,0.7668392658233643
"12,10,5,0,15,11,14,6,7,15,1,13,13,8,23",0.575,0.54,0.5662499999999999,0.5454545454545454,0.9,0.6792452830188679,0.575,0.6751558780670166
"5,12,2,18,17,16,1,0,16,11,5,13,18,6,13",0.515,0.72,0.5662499999999999,0.5428571428571428,0.19,0.2814814814814815,0.515,0.8564944267272949
"4,15,20,8,2,11,7,18,17,9,16,5,9,1,2",0.57,0.55,0.5650000000000001,0.5406976744186046,0.93,0.6838235294117647,0.5700000000000001,0.8635084629058838
"22,17,10,13,21,17,17,0,1,16,16,21,2,16,9",0.53,0.67,0.5650000000000001,0.5428571428571428,0.38,0.4470588235294118,0.53,1.1886992454528809
"22,11,18,8,23,6,2,6,6,3,1,12,7,10,9",0.57,0.55,0.5650000000000001,0.5583333333333333,0.67,0.6090909090909091,0.5700000000000001,0.6641409397125244
"13,18,14,15,4,13,12,9,2,6,17,15,8,22,10",0.5,0.76,0.565,0.5,0.48,0.4897959183673469,0.5,0.7441709041595459
"19,14,11,7,5,15,4,0,8,19,8,8,18,9,8",0.5,0.76,0.565,0.5,0.09,0.15254237288135594,0.5,0.8266580104827881
"14,16,13,0,19,5,14,1,10,5,5,23,6,9,14",0.51,0.73,0.565,0.5208333333333334,0.25,0.33783783783783783,0.51,0.7047698497772217
"17,13,12,5,4,0,18,17,14,21,5,13,1,0,22",0.545,0.62,0.5637500000000001,0.5240641711229946,0.98,0.6829268292682927,0.545,0.8277432918548584
"16,5,5,6,11,17,15,6,13,13,5,16,4,9,6",0.535,0.65,0.56375,0.5327102803738317,0.57,0.5507246376811594,0.5349999999999999,0.6750845909118652
"10,17,5,15,3,12,14,3,19,10,11,11,11,22,0",0.555,0.59,0.56375,0.535031847133758,0.84,0.6536964980544747,0.5549999999999999,0.6985998153686523
"19,18,15,9,11,8,19,13,3,21,13,18,14,15,4",0.555,0.59,0.56375,0.5846153846153846,0.38,0.46060606060606063,0.5549999999999999,1.9150822162628174
"17,13,12,5,4,1,18,3,14,21,5,13,1,0,10",0.55,0.6,0.5625,0.5961538461538461,0.31,0.40789473684210525,0.55,0.6878559589385986
"11,17,13,8,7,3,22,15,13,11,16,0,9,18,14",0.54,0.63,0.5625,0.5416666666666666,0.52,0.5306122448979592,0.54,0.8541557788848877
"7,19,10,18,0,14,1,4,2,5,0,1,10,20,8",0.57,0.54,0.5625,0.5686274509803921,0.58,0.5742574257425742,0.5700000000000001,0.6956541538238525
"0,17,15,13,20,0,10,21,3,10,22,11,0,10,4",0.485,0.79,0.56125,0.4864864864864865,0.54,0.5118483412322274,0.485,0.6959950923919678
"16,13,5,5,4,0,18,17,13,21,5,16,1,0,22",0.515,0.7,0.56125,0.5111111111111111,0.69,0.5872340425531914,0.515,0.8391170501708984
"16,16,5,1,0,17,15,2,13,13,5,16,23,12,6",0.535,0.64,0.5612499999999999,0.5538461538461539,0.36,0.43636363636363634,0.5349999999999999,0.7571284770965576
"9,3,7,7,21,12,3,10,23,16,12,21,8,13,12",0.55,0.59,0.56,0.5357142857142857,0.75,0.625,0.55,0.7887606620788574
"0,17,5,15,4,12,14,15,19,10,11,11,11,20,0",0.44,0.92,0.56,0.38461538461538464,0.2,0.2631578947368421,0.44000000000000006,0.7431001663208008
"8,23,9,13,15,8,9,3,13,10,22,16,14,4,6",0.53,0.65,0.56,0.5714285714285714,0.24,0.3380281690140845,0.53,0.7459440231323242
"16,15,5,0,0,17,15,6,13,13,5,16,13,21,6",0.47,0.83,0.56,0.475,0.57,0.5181818181818182,0.47,0.6565613746643066
"18,3,16,5,14,23,7,21,12,14,4,3,8,7,9",0.52,0.68,0.56,0.5128205128205128,0.8,0.625,0.52,0.9245116710662842
"14,0,6,2,0,4,9,10,20,3,9,0,4,6,14",0.53,0.65,0.56,0.5180722891566265,0.86,0.6466165413533834,0.53,0.5966870784759521
"12,19,3,19,6,13,8,16,6,11,2,4,17,0,20",0.525,0.66,0.5587500000000001,0.5342465753424658,0.39,0.4508670520231214,0.525,2.309715747833252
"9,3,23,11,3,6,2,19,8,14,4,0,23,1,2",0.525,0.66,0.5587500000000001,0.5233644859813084,0.56,0.5410628019323671,0.525,0.8053476810455322
"16,5,5,0,0,17,15,22,13,13,15,16,4,16,6",0.445,0.9,0.55875,0.358974358974359,0.14,0.2014388489208633,0.445,0.7365825176239014
"16,0,0,3,11,10,8,13,4,16,14,4,6,17,20",0.585,0.48,0.55875,0.8148148148148148,0.22,0.3464566929133858,0.585,0.6840560436248779
"8,9,0,2,15,19,7,18,16,18,10,2,3,12,2",0.61,0.4,0.5575000000000001,0.625,0.55,0.5851063829787234,0.6100000000000001,0.926170825958252
"6,23,8,3,14,16,1,13,14,0,10,20,14,2,10",0.54,0.61,0.5575000000000001,0.5363636363636364,0.59,0.5619047619047619,0.54,0.6866016387939453
"4,17,17,15,6,12,14,7,19,10,3,11,11,20,0",0.53,0.64,0.5575,0.5483870967741935,0.34,0.41975308641975306,0.53,0.8061871528625488
"16,14,5,16,0,11,14,16,13,15,1,16,23,12,23",0.5,0.73,0.5575,0.5,0.2,0.2857142857142857,0.5,0.8093013763427734
"13,15,4,2,2,23,15,6,6,21,14,8,13,21,17",0.49,0.76,0.5575,0.4880952380952381,0.41,0.44565217391304346,0.49,0.7180187702178955
"5,0,15,21,13,13,10,5,10,19,0,2,18,16,8",0.52,0.67,0.5575,0.5125,0.82,0.6307692307692307,0.52,1.7911076545715332
"14,10,18,13,18,15,3,3,11,9,8,2,18,19,8",0.54,0.61,0.5575,0.528169014084507,0.75,0.6198347107438017,0.54,1.5991084575653076
"12,3,10,18,16,20,10,13,18,15,13,5,9,20,13",0.56,0.55,0.5574999999999999,0.5337078651685393,0.95,0.6834532374100719,0.5599999999999999,0.8321442604064941
"6,1,4,16,1,3,15,5,14,3,0,19,10,19,8",0.545,0.59,0.5562500000000001,0.5310344827586206,0.77,0.6285714285714286,0.545,0.8163368701934814
"14,15,13,2,14,23,15,5,6,0,14,8,13,21,9",0.505,0.71,0.55625,0.5094339622641509,0.27,0.35294117647058826,0.505,0.7862658500671387
"17,13,0,8,11,14,0,8,14,0,12,13,4,11,21",0.525,0.65,0.55625,0.5136612021857924,0.94,0.6643109540636042,0.525,0.6936211585998535
"16,13,5,14,0,2,4,14,5,17,5,16,16,2,4",0.505,0.71,0.55625,0.5045045045045045,0.56,0.5308056872037915,0.505,0.6856369972229004
"13,9,17,6,19,10,6,8,22,12,21,8,10,10,8",0.505,0.71,0.55625,0.503030303030303,0.83,0.6264150943396226,0.505,1.041353464126587
"5,18,8,13,3,11,7,5,18,8,2,19,17,6,8",0.515,0.68,0.5562499999999999,0.5114503816793893,0.67,0.5800865800865801,0.515,1.0623860359191895
"16,21,5,0,0,17,15,2,13,13,18,16,23,12,6",0.455,0.86,0.5562499999999999,0.43478260869565216,0.3,0.35502958579881655,0.45499999999999996,1.3476102352142334
"9,19,10,0,11,22,9,6,1,0,13,11,4,10,4",0.575,0.5,0.5562499999999999,0.5688073394495413,0.62,0.5933014354066986,0.575,0.6144976615905762
"17,17,0,1,16,16,21,2,16,9,8,18,13,19,6",0.555,0.56,0.5562499999999999,0.5774647887323944,0.41,0.47953216374269003,0.5549999999999999,1.1553466320037842
"4,0,5,0,15,21,13,13,10,5,10,19,0,2,18",0.54,0.6,0.555,0.5289855072463768,0.73,0.6134453781512605,0.54,1.6323232650756836
"13,5,4,5,2,0,21,9,13,12,7,17,21,6,1",0.52,0.66,0.555,0.5285714285714286,0.37,0.43529411764705883,0.52,0.7345685958862305
"10,15,1,19,5,0,11,10,15,9,6,4,0,19,8",0.52,0.66,0.555,0.5144927536231884,0.71,0.5966386554621849,0.52,0.7042360305786133
"17,16,1,0,16,11,5,13,18,6,13,13,20,5,14",0.52,0.66,0.5549999999999999,0.5476190476190477,0.23,0.323943661971831,0.52,0.7415664196014404
"19,17,16,15,19,12,14,7,17,10,11,20,11,8,0",0.48,0.78,0.5549999999999999,0.48148148148148145,0.52,0.5,0.48,1.3644747734069824
"12,14,18,11,23,11,14,7,7,15,1,13,4,10,16",0.48,0.78,0.5549999999999999,0.4863013698630137,0.71,0.5772357723577236,0.48,0.7264919281005859
