,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"0,16,5,21,4,2,15,15,17,12,14,7,19,10,10",0.68,0.8,0.71,0.6607142857142857,0.74,0.6981132075471698,0.6799999999999999,12.67377233505249
0,"17,4,18,5,4,16,18,3,11,8,5,13,15,0,11",0.66,0.86,0.71,0.6666666666666666,0.64,0.6530612244897959,0.66,9.15581488609314
0,"19,16,5,16,4,12,17,15,6,12,14,14,19,10,7",0.675,0.81,0.7087500000000001,0.6356589147286822,0.82,0.7161572052401747,0.675,14.361172676086426
0,"0,16,5,22,4,17,17,15,4,12,14,7,19,10,11",0.67,0.825,0.70875,0.6931818181818182,0.61,0.648936170212766,0.6699999999999999,9.406753778457642
0,"0,16,5,22,4,17,17,15,6,12,14,7,19,10,11",0.67,0.825,0.70875,0.6931818181818182,0.61,0.648936170212766,0.6699999999999999,8.709230661392212
0,"19,16,18,6,2,11,19,5,5,12,6,12,10,11,10",0.69,0.765,0.70875,0.6583333333333333,0.79,0.7181818181818181,0.69,9.560712099075317
0,"0,16,5,16,4,12,17,15,4,12,14,11,19,10,7",0.67,0.82,0.7075,0.673469387755102,0.66,0.6666666666666666,0.67,8.153593063354492
0,"19,16,5,18,4,10,17,15,4,12,14,18,19,10,10",0.685,0.775,0.7075,0.6554621848739496,0.78,0.7123287671232876,0.685,16.89440107345581
0,"16,12,18,18,6,5,7,0,12,3,11,13,15,11,10",0.68,0.78,0.7050000000000001,0.6730769230769231,0.7,0.6862745098039216,0.6799999999999999,11.023186683654785
0,"17,23,15,5,18,16,3,6,17,4,6,17,23,11,11",0.685,0.76,0.7037500000000001,0.6761904761904762,0.71,0.6926829268292682,0.685,2626.392806529999
0,"19,16,5,5,4,19,17,17,6,12,14,7,15,10,9",0.66,0.835,0.7037499999999999,0.635593220338983,0.75,0.6880733944954128,0.6599999999999999,17.997461557388306
0,"19,17,17,15,6,12,12,7,19,10,11,11,11,22,0",0.67,0.795,0.7012499999999999,0.646551724137931,0.75,0.6944444444444444,0.6699999999999999,12.374682188034058
0,"5,6,16,22,13,18,16,15,6,16,12,13,11,8,5",0.66,0.815,0.69875,0.625,0.8,0.7017543859649122,0.66,17.255234479904175
0,"19,16,5,16,4,12,17,15,4,12,14,5,19,10,7",0.66,0.81,0.6975,0.625,0.8,0.7017543859649122,0.66,11.342880725860596
0,"19,16,4,5,8,19,5,14,9,9,2,19,12,15,9",0.66,0.805,0.69625,0.66,0.66,0.66,0.66,12.914765119552612
0,"0,19,17,15,6,13,12,9,19,6,11,11,8,22,0",0.645,0.85,0.69625,0.6239316239316239,0.73,0.6728110599078341,0.645,32.60684084892273
0,"0,19,17,15,6,12,14,7,19,10,11,8,11,22,0",0.635,0.875,0.6950000000000001,0.68,0.51,0.5828571428571429,0.635,22.973395347595215
0,"5,6,16,22,13,18,16,6,17,16,12,13,11,8,5",0.65,0.83,0.6950000000000001,0.6190476190476191,0.78,0.6902654867256637,0.65,29.41506266593933
0,"4,17,17,15,6,12,14,7,19,10,11,11,11,22,0",0.625,0.9,0.69375,0.6237623762376238,0.63,0.6268656716417911,0.625,15.41379976272583
0,"16,18,18,5,2,2,19,5,5,12,6,12,10,11,4",0.68,0.73,0.6925,0.65,0.78,0.7090909090909091,0.6799999999999999,14.063141107559204
0,"18,6,19,18,11,16,2,21,12,5,22,13,18,9,10",0.665,0.775,0.6925,0.6386554621848739,0.76,0.6940639269406392,0.665,21.244369506835938
0,"16,18,18,5,2,0,19,5,5,12,6,12,10,11,4",0.68,0.73,0.6925,0.65,0.78,0.7090909090909091,0.6799999999999999,13.822065830230713
0,"18,6,19,18,11,16,2,12,12,5,22,15,18,9,10",0.69,0.685,0.68875,0.6610169491525424,0.78,0.7155963302752294,0.69,20.49673366546631
0,"19,17,0,16,15,12,3,10,15,15,10,13,0,9,6",0.67,0.74,0.6875,0.6287878787878788,0.83,0.7155172413793104,0.6699999999999999,12.177253246307373
0,"19,16,5,22,6,8,17,15,17,5,18,19,3,10,8",0.635,0.845,0.6875,0.6261682242990654,0.67,0.6473429951690821,0.635,54.86494278907776
0,"19,14,15,16,18,16,17,6,17,4,6,17,23,11,11",0.68,0.7,0.685,0.6914893617021277,0.65,0.6701030927835051,0.6799999999999999,10.192332744598389
0,"0,16,19,18,11,16,2,21,12,5,22,13,18,9,10",0.67,0.73,0.685,0.673469387755102,0.66,0.6666666666666666,0.67,15.436923027038574
0,"18,6,19,18,11,16,2,21,12,5,22,15,18,9,10",0.675,0.705,0.6825000000000001,0.6548672566371682,0.74,0.6948356807511737,0.675,19.759953260421753
0,"16,12,18,18,6,5,7,21,12,3,11,13,18,11,10",0.675,0.695,0.68,0.6699029126213593,0.69,0.6798029556650246,0.675,12.357994079589844
0,"16,18,0,16,15,13,4,3,13,20,15,8,8,9,10",0.66,0.74,0.6799999999999999,0.626984126984127,0.79,0.6991150442477876,0.66,8.747340679168701
0,"19,18,18,6,2,11,19,5,5,12,6,12,10,11,10",0.66,0.72,0.675,0.6333333333333333,0.76,0.6909090909090909,0.66,17.33018183708191
0,"16,23,15,16,18,15,17,6,17,4,6,14,0,11,19",0.65,0.745,0.6737500000000001,0.6442307692307693,0.67,0.6568627450980392,0.65,11.021467924118042
0,"18,16,5,16,4,12,17,15,4,12,14,7,19,10,7",0.63,0.8,0.6725000000000001,0.5844155844155844,0.9,0.7086614173228346,0.63,25.734728813171387
0,"17,4,18,16,2,12,19,5,5,12,6,13,10,11,10",0.66,0.71,0.6724999999999999,0.6194029850746269,0.83,0.7094017094017094,0.6599999999999999,8.015060424804688
0,"19,16,5,22,6,8,17,15,17,5,18,5,3,10,8",0.67,0.68,0.6724999999999999,0.625,0.85,0.7203389830508474,0.6699999999999999,12.599192142486572
