models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,5,6,8,9",0.71,0.795,0.675,0.81,0.7363636363636363,0.71
"1,2,3,4,9",0.71,0.79,0.675,0.81,0.7363636363636363,0.71
"1,2,3,5,7",0.71,0.815,0.6875,0.77,0.7264150943396226,0.71
"1,2,4,5,8",0.71,0.81,0.675,0.81,0.7363636363636363,0.71
"1,2,4,7,8",0.71,0.82,0.6666666666666666,0.84,0.7433628318584071,0.71
"1,2,5,7,8",0.71,0.825,0.675,0.81,0.7363636363636363,0.71
"1,3,5,6,7",0.71,0.81,0.6810344827586207,0.79,0.7314814814814815,0.71
"1,3,5,7,9",0.71,0.78,0.6779661016949152,0.8,0.7339449541284404,0.71
"1,3,6,7,9",0.71,0.795,0.675,0.81,0.7363636363636363,0.71
"1,3,7,8,9",0.71,0.785,0.6721311475409836,0.82,0.7387387387387387,0.71
"1,4,6,7,9",0.71,0.795,0.6721311475409836,0.82,0.7387387387387387,0.71
"1,5,7,8,9",0.71,0.785,0.6721311475409836,0.82,0.7387387387387387,0.71
"2,3,5,6,8",0.71,0.815,0.6779661016949152,0.8,0.7339449541284404,0.71
"2,3,5,8,9",0.71,0.775,0.6779661016949152,0.8,0.7339449541284404,0.71
"2,4,5,7,9",0.71,0.745,0.6721311475409836,0.82,0.7387387387387387,0.71
"2,4,5,8,9",0.71,0.775,0.675,0.81,0.7363636363636363,0.71
"2,4,6,8,9",0.71,0.785,0.675,0.81,0.7363636363636363,0.71
"2,5,6,7,8",0.71,0.825,0.6721311475409836,0.82,0.7387387387387387,0.71
"3,4,5,6,9",0.71,0.76,0.6779661016949152,0.8,0.7339449541284404,0.71
"4,5,6,8,9",0.71,0.775,0.675,0.81,0.7363636363636363,0.71
"4,5,7,8,9",0.71,0.75,0.6693548387096774,0.83,0.7410714285714286,0.71
"0,1,2,5,7",0.705,0.85,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"0,1,3,4,6",0.705,0.825,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"0,1,3,4,9",0.705,0.77,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001
"0,1,3,5,6",0.705,0.83,0.6782608695652174,0.78,0.7255813953488373,0.7050000000000001
"0,1,3,5,9",0.705,0.8,0.6782608695652174,0.78,0.7255813953488373,0.7050000000000001
"0,1,4,5,9",0.705,0.795,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"0,2,3,4,9",0.705,0.77,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"0,2,3,5,6",0.705,0.835,0.6752136752136753,0.79,0.728110599078341,0.7050000000000001
"0,2,3,5,9",0.705,0.795,0.6752136752136753,0.79,0.728110599078341,0.7050000000000001
"0,3,4,5,6",0.705,0.785,0.6782608695652174,0.78,0.7255813953488373,0.7050000000000001
"0,3,5,7,9",0.705,0.755,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"0,3,5,8,9",0.705,0.775,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001
"0,3,6,8,9",0.705,0.785,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001
"1,2,3,5,9",0.705,0.81,0.6814159292035398,0.77,0.7230046948356808,0.7050000000000001
"1,3,4,6,9",0.705,0.785,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001
"1,3,4,8,9",0.705,0.77,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001
"1,3,5,6,8",0.705,0.815,0.6782608695652174,0.78,0.7255813953488373,0.7050000000000001
"1,3,5,8,9",0.705,0.78,0.6752136752136753,0.79,0.728110599078341,0.7050000000000001
"1,6,7,8,9",0.705,0.815,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"3,4,5,6,8",0.705,0.785,0.6722689075630253,0.8,0.730593607305936,0.7050000000000001
"3,4,5,7,8",0.705,0.77,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"3,5,6,7,8",0.705,0.815,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"3,5,6,7,9",0.705,0.79,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"3,5,7,8,9",0.705,0.765,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"4,5,6,7,9",0.705,0.75,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"5,6,7,8,9",0.705,0.79,0.6694214876033058,0.81,0.7330316742081447,0.7050000000000001
"0,1,2,5,8",0.705,0.825,0.6666666666666666,0.82,0.7354260089686099,0.705
"0,1,4,5,8",0.705,0.83,0.6666666666666666,0.82,0.7354260089686099,0.705
"0,1,4,6,7",0.705,0.81,0.6666666666666666,0.82,0.7354260089686099,0.705
"0,2,3,4,7",0.705,0.8,0.6666666666666666,0.82,0.7354260089686099,0.705
"0,3,6,7,8",0.705,0.805,0.6666666666666666,0.82,0.7354260089686099,0.705
"0,3,7,8,9",0.705,0.765,0.6666666666666666,0.82,0.7354260089686099,0.705
"1,4,7,8,9",0.705,0.78,0.664,0.83,0.7377777777777778,0.705
"2,3,4,7,9",0.705,0.755,0.6666666666666666,0.82,0.7354260089686099,0.705
"4,5,6,7,8",0.705,0.79,0.664,0.83,0.7377777777777778,0.705
"0,1,4,6,9",0.7,0.805,0.6639344262295082,0.81,0.7297297297297297,0.7
"0,1,4,8,9",0.7,0.795,0.6639344262295082,0.81,0.7297297297297297,0.7
"0,2,3,5,7",0.7,0.82,0.6694915254237288,0.79,0.7247706422018348,0.7
"0,2,3,6,8",0.7,0.83,0.6666666666666666,0.8,0.7272727272727273,0.7
"0,2,3,7,8",0.7,0.805,0.6639344262295082,0.81,0.7297297297297297,0.7
"0,2,3,8,9",0.7,0.79,0.6666666666666666,0.8,0.7272727272727273,0.7
"0,3,4,7,8",0.7,0.78,0.6612903225806451,0.82,0.7321428571428571,0.7
"0,3,6,7,9",0.7,0.785,0.6639344262295082,0.81,0.7297297297297297,0.7
"0,4,6,8,9",0.7,0.785,0.6666666666666666,0.8,0.7272727272727273,0.7
"0,4,7,8,9",0.7,0.785,0.6587301587301587,0.83,0.7345132743362832,0.7
"0,6,7,8,9",0.7,0.785,0.6639344262295082,0.81,0.7297297297297297,0.7
"1,2,3,5,8",0.7,0.815,0.6754385964912281,0.77,0.719626168224299,0.7
"1,2,4,5,7",0.7,0.83,0.6639344262295082,0.81,0.7297297297297297,0.7
"1,3,4,5,6",0.7,0.805,0.6785714285714286,0.76,0.7169811320754716,0.7
"1,3,4,6,8",0.7,0.81,0.6666666666666666,0.8,0.7272727272727273,0.7
"1,3,6,7,8",0.7,0.81,0.6612903225806451,0.82,0.7321428571428571,0.7
"1,4,6,8,9",0.7,0.8,0.6666666666666666,0.8,0.7272727272727273,0.7
"2,3,4,5,8",0.7,0.785,0.6639344262295082,0.81,0.7297297297297297,0.7
"2,3,4,6,8",0.7,0.795,0.6666666666666666,0.8,0.7272727272727273,0.7
"2,3,4,8,9",0.7,0.76,0.6666666666666666,0.8,0.7272727272727273,0.7
"2,3,5,7,9",0.7,0.785,0.6694915254237288,0.79,0.7247706422018348,0.7
"2,3,6,8,9",0.7,0.8,0.6724137931034483,0.78,0.7222222222222222,0.7
"2,5,7,8,9",0.7,0.79,0.6639344262295082,0.81,0.7297297297297297,0.7
"3,4,6,8,9",0.7,0.765,0.6666666666666666,0.8,0.7272727272727273,0.7
"0,1,3,4,7",0.695,0.805,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001
"0,1,3,5,8",0.695,0.815,0.6695652173913044,0.77,0.7162790697674418,0.6950000000000001
"0,1,4,7,9",0.695,0.78,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001
"0,2,3,4,8",0.695,0.8,0.6585365853658537,0.81,0.726457399103139,0.6950000000000001
"0,2,3,5,8",0.695,0.805,0.6638655462184874,0.79,0.7214611872146118,0.6950000000000001
"0,3,4,5,7",0.695,0.765,0.6611570247933884,0.8,0.7239819004524887,0.6950000000000001
