,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"19,18,14,15,4,13,12,16,18,6,17,15,7,22,10",0.62,0.815,0.66875,0.603448275862069,0.7,0.6481481481481481,0.62,16.9500150680542
0,"19,4,15,16,23,12,17,21,10,2,16,5,10,9,11",0.635,0.765,0.6675,0.6391752577319587,0.62,0.6294416243654822,0.635,11.110947608947754
0,"18,5,16,22,13,18,16,6,17,21,12,20,11,8,5",0.65,0.715,0.66625,0.6339285714285714,0.71,0.6698113207547169,0.6499999999999999,9.45752501487732
0,"6,16,22,4,17,17,15,11,12,16,7,12,13,11,11",0.585,0.9,0.66375,0.5913978494623656,0.55,0.5699481865284974,0.585,9.49942421913147
0,"16,5,19,16,11,12,17,21,4,5,12,19,12,9,7",0.64,0.73,0.6624999999999999,0.625,0.7,0.660377358490566,0.6399999999999999,8.840591669082642
0,"19,18,14,19,4,13,10,6,5,6,18,15,7,8,21",0.595,0.86,0.66125,0.5798319327731093,0.69,0.6301369863013698,0.595,14.603668212890625
0,"16,22,0,16,15,17,3,6,18,14,0,13,10,9,7",0.62,0.785,0.6612499999999999,0.5869565217391305,0.81,0.680672268907563,0.62,10.376469612121582
0,"19,18,14,15,4,13,12,6,2,6,17,15,7,22,10",0.615,0.785,0.6575,0.6533333333333333,0.49,0.56,0.615,15.530749797821045
0,"6,16,22,14,17,14,15,6,12,22,13,12,10,10,23",0.62,0.765,0.65625,0.5983606557377049,0.73,0.6576576576576577,0.62,7.148052215576172
0,"4,16,22,14,17,14,15,6,12,22,13,12,10,10,23",0.62,0.765,0.65625,0.5983606557377049,0.73,0.6576576576576577,0.62,6.937232732772827
0,"19,10,16,15,13,18,16,6,17,5,12,20,11,8,5",0.605,0.795,0.6525,0.6,0.63,0.6146341463414634,0.605,13.143764019012451
0,"18,18,17,6,8,17,9,22,5,13,22,12,11,10,16",0.61,0.77,0.65,0.6018518518518519,0.65,0.625,0.61,11.551775455474854
0,"4,4,0,16,15,5,17,21,6,17,9,13,5,9,13",0.61,0.77,0.65,0.5916666666666667,0.71,0.6454545454545455,0.61,11.344168424606323
0,"19,18,14,19,4,13,16,22,4,6,17,15,11,8,10",0.605,0.785,0.6499999999999999,0.5981308411214953,0.64,0.6183574879227053,0.605,14.275691509246826
0,"19,18,14,19,4,13,16,22,0,6,17,15,11,8,10",0.605,0.785,0.6499999999999999,0.5963302752293578,0.65,0.6220095693779905,0.605,14.274396181106567
0,"16,5,22,4,17,17,15,6,12,14,12,19,10,11,5",0.57,0.865,0.64375,0.5833333333333334,0.49,0.532608695652174,0.5700000000000001,8.870679378509521
0,"17,5,22,5,17,16,15,11,12,14,7,19,2,11,11",0.625,0.7,0.64375,0.6404494382022472,0.57,0.6031746031746031,0.625,9.049540758132935
0,"19,10,16,22,13,18,16,6,17,21,12,20,11,8,5",0.59,0.805,0.64375,0.5865384615384616,0.61,0.5980392156862745,0.59,12.062158346176147
0,"17,4,0,16,15,12,17,21,4,15,12,9,0,9,10",0.595,0.785,0.6425,0.5887850467289719,0.63,0.6086956521739131,0.595,8.709670782089233
0,"0,18,16,19,13,13,16,6,17,21,12,20,11,8,13",0.61,0.735,0.64125,0.5887096774193549,0.73,0.6517857142857143,0.61,9.60568356513977
0,"16,5,0,16,15,17,3,6,18,14,0,13,10,9,7",0.585,0.8,0.6387499999999999,0.5894736842105263,0.56,0.5743589743589743,0.585,8.059391260147095
0,"19,18,11,19,17,21,16,22,5,17,18,9,10,5,21",0.6,0.75,0.6375000000000001,0.5862068965517241,0.68,0.6296296296296297,0.6000000000000001,20.247362852096558
0,"19,4,19,12,11,21,17,21,4,5,12,17,18,9,21",0.64,0.61,0.6325,0.5958904109589042,0.87,0.7073170731707317,0.64,18.15264058113098
0,"4,4,0,16,15,5,17,6,6,17,9,13,10,9,13",0.59,0.75,0.63,0.5882352941176471,0.6,0.594059405940594,0.59,6.851349592208862
0,"19,10,16,15,13,13,16,6,17,21,12,20,11,8,10",0.58,0.775,0.6287499999999999,0.5816326530612245,0.57,0.5757575757575758,0.58,9.90752387046814
0,"16,5,22,4,17,17,15,11,12,14,7,19,2,11,11",0.58,0.77,0.6275000000000001,0.5888888888888889,0.53,0.5578947368421052,0.5800000000000001,11.899633646011353
0,"16,5,22,4,17,16,15,22,16,14,7,19,10,11,11",0.565,0.815,0.6275,0.6065573770491803,0.37,0.45962732919254656,0.565,13.748220920562744
0,"19,10,18,11,15,17,21,10,5,5,17,21,9,10,5",0.615,0.66,0.62625,0.6036036036036037,0.67,0.6350710900473934,0.615,9.679365158081055
0,"16,5,22,4,17,17,16,6,13,14,5,18,11,11,6",0.6,0.705,0.62625,0.5735294117647058,0.78,0.6610169491525424,0.6,8.136997699737549
