models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"1,3,6,8,9",0.6,0.7,0.75,0.21428571428571427,0.3333333333333333,0.5758928571428571
"0,4,6,8,9",0.6,0.7,1.0,0.14285714285714285,0.25,0.5714285714285714
"1,2,5,6,9",0.5666666666666667,0.7,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.5714285714285714
"2,3,4,5,9",0.5666666666666667,0.8,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.5714285714285714
"2,3,4,6,7",0.5666666666666667,0.7,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.5714285714285714
"0,2,4,7,9",0.5666666666666667,0.6,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"1,2,3,4,6",0.5666666666666667,0.6,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"1,2,3,6,9",0.5666666666666667,0.8,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"1,2,6,7,8",0.5666666666666667,0.7,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"1,3,5,7,9",0.5666666666666667,0.9,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"1,3,6,7,9",0.5666666666666667,0.9,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"1,4,5,6,7",0.5666666666666667,0.6,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"2,4,5,6,9",0.5666666666666667,0.7,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"2,5,7,8,9",0.5666666666666667,0.7,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5669642857142857
"2,3,4,7,8",0.5666666666666667,0.7,0.5384615384615384,0.5,0.5185185185185185,0.5625
"2,4,6,7,8",0.5666666666666667,0.6,0.5384615384615384,0.5,0.5185185185185185,0.5625
"0,1,2,4,9",0.5666666666666667,0.6,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
"0,1,5,7,9",0.5666666666666667,0.8,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
"0,1,6,7,9",0.5666666666666667,0.8,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
"0,2,4,7,8",0.5666666666666667,0.6,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
"0,3,4,7,9",0.5666666666666667,0.7,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
"1,3,4,5,9",0.5666666666666667,0.7,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
"1,5,7,8,9",0.5666666666666667,0.8,0.5454545454545454,0.42857142857142855,0.48,0.5580357142857143
