,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"18,18,6,17,15,13,14,18,13,11,6,12,0,9,10",0.63,0.86,0.6875,0.6511627906976745,0.56,0.6021505376344086,0.63,7.41652512550354
0,"15,14,0,4,4,12,19,3,16,19,15,14,16,23,0",0.63,0.86,0.6875,0.63,0.63,0.63,0.63,6.766500949859619
0,"18,6,13,10,15,16,16,18,13,21,12,8,11,9,7",0.63,0.86,0.6875,0.6477272727272727,0.57,0.6063829787234043,0.6299999999999999,5.456335067749023
0,"18,18,6,17,15,13,14,18,13,11,6,12,5,8,10",0.62,0.88,0.6849999999999999,0.6395348837209303,0.55,0.5913978494623656,0.62,9.233374834060669
0,"19,12,12,15,11,13,18,15,11,6,17,10,12,11,11",0.625,0.85,0.68125,0.6146788990825688,0.67,0.6411483253588517,0.625,5.77160906791687
0,"19,10,17,13,13,18,15,6,13,5,5,11,3,8,5",0.62,0.86,0.6799999999999999,0.6428571428571429,0.54,0.5869565217391305,0.62,12.64756989479065
0,"19,14,13,12,4,12,16,17,16,6,18,19,15,10,8",0.615,0.87,0.67875,0.6263736263736264,0.57,0.5968586387434555,0.615,21.837958574295044
0,"14,16,18,18,4,12,19,3,16,19,15,0,16,8,0",0.63,0.82,0.6775,0.6666666666666666,0.52,0.5842696629213483,0.63,12.516127586364746
0,"15,15,13,12,4,19,4,6,11,0,8,5,20,0,11",0.625,0.83,0.67625,0.6126126126126126,0.68,0.6445497630331753,0.625,4.468039274215698
0,"18,18,13,10,15,13,14,18,5,11,6,15,6,8,10",0.61,0.86,0.6725,0.5808823529411765,0.79,0.6694915254237288,0.61,6.606793165206909
0,"19,12,17,13,13,18,15,6,19,5,5,11,3,8,5",0.61,0.85,0.67,0.5714285714285714,0.88,0.6929133858267716,0.61,8.397029161453247
0,"18,18,6,17,15,13,14,18,13,11,15,12,6,9,10",0.64,0.76,0.6699999999999999,0.6186440677966102,0.73,0.6697247706422018,0.64,6.694288015365601
0,"12,16,23,4,0,12,19,9,10,19,15,20,2,7,13",0.635,0.77,0.66875,0.6062992125984252,0.77,0.6784140969162996,0.635,5.177290678024292
0,"18,18,18,10,15,13,14,18,13,11,6,12,5,8,10",0.64,0.75,0.6675,0.6521739130434783,0.6,0.625,0.64,8.275754928588867
0,"15,14,0,4,16,12,19,9,16,19,15,14,16,10,13",0.615,0.82,0.66625,0.5804195804195804,0.83,0.6831275720164609,0.615,5.342605113983154
